,Index,Index_Count,Part-I,Part-I_Count,Part-2,Part-2_Count,Part-3,Part-3_Count,Part-IV-A-1,Part-IV-A-1_Count,Part-IV-A-2,Part-IV-A-2_Count,Part-IV-A-3,Part-IV-A-3_Count,Part-IV-A-4,Part-IV-A-4_Count,Part-IV-A-5,Part-IV-A-5_Count,Part-IV-B-1,Part-IV-B-1_Count,Part-IV-B-2,Part-IV-B-2_Count,Part-IV-B-3,Part-IV-B-3_Count,Part-IV-B-4,Part-IV-B-4_Count,Part-IV-B-5,Part-IV-B-5_Count,Part-IV-C-1,Part-IV-C-1_Count,Part-IV-C-2a,Part-IV-C-2a_Count,Part-IV-C-2b,Part-IV-C-2b_Count,Part-IV-C-2c,Part-IV-C-2c_Count,Part-IV-C-3,Part-IV-C-3_Count,Part-IV-C-4,Part-IV-C-4_Count,Part-IV-C-5,Part-IV-C-5_Count,Part-IV-C-6a,Part-IV-C-6a_Count,Part-IV-C-6b,Part-IV-C-6b_Count,Part-IV-C-6c,Part-IV-C-6c_Count,Part-IV-C-7a,Part-IV-C-7a_Count,Part-IV-C-7b,Part-IV-C-7b_Count,Part-IV-C-8,Part-IV-C-8_Count,Part-IV-C-9a,Part-IV-C-9a_Count,Part-IV-C-9b,Part-IV-C-9b_Count,Part-V-A-Vol-IA,Part-V-A-Vol-IA_Count,Part-V-A-Vol-IB,Part-V-A-Vol-IB_Count,Part-V-A-Vol-IC,Part-V-A-Vol-IC_Count,Part-V-A-Vol-IID,Part-V-A-Vol-IID_Count,Part-V-B-1,Part-V-B-1_Count,Part-V-B-2a,Part-V-B-2a_Count,Part-V-B-2b,Part-V-B-2b_Count,Part-V-B-3a,Part-V-B-3a_Count,Part-V-B-3b,Part-V-B-3b_Count,Part-V-B-3c,Part-V-B-3c_Count,Part-V-B-3d,Part-V-B-3d_Count,Part-V-B-4-Book-I,Part-V-B-4-Book-I_Count,Part-V-B-4-Book-II,Part-V-B-4-Book-II_Count,Part-VI-A,Part-VI-A_Count,Part-VI-B,Part-VI-B_Count,Part-VI-C-1,Part-VI-C-1_Count,Part-VI-C-2,Part-VI-C-2_Count,Part-VI-C-3,Part-VI-C-3_Count,Part-VI-C-4,Part-VI-C-4_Count
0,A. Public Statements,1.0,A. Public Statements,1.0,8 1954,1.0,A-16 a.,1.0,83d Congress,2.0,9 Infantry battalion,1.0,304lZMar55,1.0,"-,1(0 Department of State",1.0,"""Contrary to United States",1.0,ADMINISTRATIVELY,1.0,.28,1.0,103I J,1.0,(&L,1.0,"""Revolutionary Committee",2.0,104,1.0,A-7,1.0,-1 Fulbright Committee,1.0,1Working Group,1.0,104,1.0,ANALYSIS,2.0,2d Brigade,1.0,25th Infantry Division,2.0,101st Abn,1.0,7 Army,1.0,.above,1.0,AAA,3.0,104,1.0,9 Jan AFC Generals,1.0,"""Revolutionary Development""",1.0,A. Truman Administration,1.0,Additional United States,1.0,1Q61,1.0,196O,1.0,0.0011 Paetae,1.0,0bj.3ct.ivJ-,1.0,# SECRET DEPARTMENT OF STATE,1.0,0 French Air Force,1.0,# Co Southeast Asia,1,&b-00 million,1.0,# Nonethcless,1.0,.local,1.0,-1,1.0,AFP,3.0,1 Department,1.0,A. 132,1.0,1967 Estabrook,1.0,& troop,2.0,& U. S. (,1.0
1,A. U.S. France,1.0,A. U.S. France,1.0,A-14 DEPARTMENT OF,1.0,A-24 4,1.0,A-19 d. UN,1.0,A. 2.AID,1.0,7 b. Dulles' Views,1.0,040152,1.0,"""Fatherland Front",1.0,ADMINISTRATIVELY DIEM IS EXCEEDINGLY,1.0,A. U.S. Military Advisors,1.0,104,1.0,-wo,1.0,'pr & Rowe 1966,2.0,123- Ibid,1.0,A-8,1.0,138 Differences,1.0,A. Demands 1,1.0,ACA,1.0,Airborne Brigade,4.0,3rd Country,4.0,272nd,1.0,1967 Operational,1.0,82d Airborne,1.0,.stopping RT ROLLING THUNDER,1.0,ALTERNATIVES,1.0,25th Divisions,1.0,A Council of Notables,1.0,104,1.0,Administration,1.0,Administration,1.0,Accords,1.0,ABC Correspondents,1.0,7 FOREIGN RELATIONS,1.0,103th Meeting,1.0,-1,1.0,168th Council,1.0,.to.ensure.an,1,589I Action,1.0,.0,1.0,.point,1.0,761-,1.0,ALGERIA,2.0,1 Set,1.0,ACA,1.0,A. Presented,1.0,1967Harrison Salisbury,1.0,10GVN,1.0
2,A. U.S. Military Planning,1.0,A. U.S. Military Planning,1.0,A-17 d. French Intransigence,1.0,A-25 b. French,1.0,A-29(O,1.0,AMEMB Paris 431,1.0,83d Congress,1.0,050151 VIETNAMESE ARMY,1.0,-the Provincial Forces and the Armed Militia,1.0,ANALYSIS,1.0,ANALYSIS,1.0,196O,1.0,9I,1.0,104,4.0,AID Administrator Bell,1.0,A. Covert Action Program Scope,1.0,2nd Session,1.0,AC-AIN ST,1.0,ANALYSIS,2.0,Army,7.0,8) Continue,1.0,325th NVA Div,1.0,1967 RD,1.0,82nd Airborne Division,1.0,AAA,1.0,ASDISA,2.0,25th U.S. Infantry Divisions,1.0,AID,2.0,25th Division,1.0,American Revolution,1.0,Alfred le Sesne Jenkins,1.0,Allied,1.0,ANZUS,1.0,740.0011 Pacific,1.0,31FICAT1ON INDICATE,1.0,.9,1.0,A.iM.,1.0,196th Council,1,7 S3 L NND 63.316,1.0,.SEATO,1.0,104,1.0,AID,2.0,ARTHUR GOLDBERG,1.0,1965Tab'CC,1.0,AFP,4.0,AP,1.0,A. Position,1.0,1954 Geneva Accords,1.0
3,ASDISA,1.0,ASDISA,1.0,A-35 b. Military Assistance Program,1.0,A-25 c. United Action,1.0,A-3448,1.0,Annex 2,2.0,Accords,3.0,121 Army Information Digest,1.0,"1st Session, Committee Print",1.0,ARMY,2.0,ASDISA,1.0,1st ARVN Division,1.0,AID,1.0,5th Division,2.0,ASDISA,1.0,Administration,5.0,3T-&,1.0,ANALYSIS,1.0,Admi,1.0,Army Brigade,1.0,ADV,2.0,325th PAVN Division,1.0,3696 Avg,1.0,ARVH,1.0,ACG,1.0,Accords,1.0,AID,3.0,AID Provincial Representative,1.0,25th U.S. Division,1.0,Atlantic Community,1.0,B-52 B-3 B. Eisenhower Administration,1.0,American Society of Newspaper Editors,1.0,Address,1.0,A1.IBASSAD3 DE FRANCE EN CHINE,1.0,3aod.nl Govt,1.0,11-(3,1.0,AMB,1.0,3tas,1,900 Field Divisions,1.0,.frimd,1.0,2nd Corps,1.0,ALU,1.0,ASA,1.0,4A Nt,1.0,AMEMBASSY,1.0,AP Dispatch,1.0,AB,1.0,1967 State,1.0
4,Announced Position Statements C. Histories of Contacts,1.0,Announced Position Statements C. Histories of Contacts,1.0,A-35 c.,1.0,A-34 a. United,1.0,A-7,1.0,Army,1.0,Adenouer,1.0,254 NIE,1.0,201 I Resolution,1.0,Accords,1.0,Agroville,1.0,25th Infantry Divisions,1.0,AP,7.0,917a op.cit,2.0,Administration,2.0,Agency,1.0,ANALYSIS,1.0,Accords,1.0,Administration,14.0,BLT,8.0,ANZAC,1.0,3d Brigade,1.0,5th VC Division,1.0,ARVN Divisions,1.0,ASDISA,4.0,Administration,32.0,AMA,1.0,AID de fa.cto,1.0,461ff,1.0,B. Eisenhower Administration,2.0,CBS Radio,2.0,Army,1.0,Administration,2.0,Administration,1.0,4.e a. Division of European Affairs,1.0,120th Council,1.0,ARROMANCHES,1.0,549 OUTGOING DEPARTMENT OF STATE,1,A. Military,1.0,195S,1.0,3rd Corps,2.0,APS,1.0,Administration,5.0,ABC Television's,1.0,ANALYSIS,1.0,Administration,3.0,ASAP,1.0,1967 Trinh,1.0
5,C. Direct Action,1.0,C. Direct Action,1.0,A-4O e.,1.0,A-35 d.,1.0,A-8 f. Precursor Pacts,1.0,Army Attache,1.0,Administration,1.0,"2nd Session, Government Printing Office",2.0,2lst ARVN Division,1.0,Administration,28.0,Agroville Program,1.0,25th U.S. Infantry Divisions,1.0,ASD,2.0,AID,6.0,Air Force Chiefs of Staff,1.0,Ambassa.dor Lodge,1.0,ANALYSIS MILITARY PRESSURES AGAINST NVN JULYOCTOBER,1.0,Administration,35.0,Administrationss,1.0,Binh C-ia,1.0,ARVN Corps,1.0,3rd Brigade,1.0,8) Emphasize,1.0,"Additional Deployment 30,000",1.0,ASDSA,2.0,Administration the United States,1.0,ARVN Divisional,1.0,AJJ,1.0,8) A Directorate of Intelligence,1.0,Congress,1.0,CBS Television Network,1.0,Asias,1.0,American Broadcasting Company Radio and Television,1.0,Air Force,1.0,AC,2.0,273 Declassified,1.0,ARTHUR RADFORD,1.0,5d5t;sS3& a united front,1,A.PROVISIONAL ASSEMBLY,1.0,295th Council,1.0,4400th Detachment,1.0,Accords,1.0,Afro-Asian,1.0,ADMIN,1.0,AP,1.0,Air Force,1.0,Administration,2.0,325th NVA,1.0
6,CIA,1.0,CIA,1.0,A-9 2,1.0,A-40 France Continues Insistence,1.0,ALLIED COMMAND EUROPE,1.0,Comments,1.0,Air Forces,1.0,"3,500158",1.0,338th NVA Divisions,1.0,Agrovilles,1.0,Ain OALAT UKOER GVN COUTROL,1.0,ADP,1.0,ASDISA,1.0,AID Administrator Bell,2.0,Already Increase New Total Authorized Alt 1 Alt 2 Alt 1 Alt 2,1.0,An Interagency Study Group,1.0,ANTICIPAT1ON OF WIDER ACTION,1.0,Administrations,1.0,Admmistlavion,1.0,Binh Dinh,3.0,ASAP,1.0,"4,33",1.0,9th Divisions,1.0,Administration,6.0,Administration,17.0,Agency,1.0,ARVN Divisions,1.0,ANALYSIS,1.0,8B,1.0,Defense,3.0,Capitals,1.0,Assembly,1.0,American Interest,1.0,Allied,6.0,AFP,1.0,AD- HOC COMITE,1.0,ATO Annual Review,1.0,83d Congress,1,ACCORDS ON INDOCHINA,1.0,6hA,1.0,5th Military Regions,1.0,AfU-tV,1.0,Agence France-Presse,6.0,AGREED,1.0,ATTACHMENT END QUOTE,1.0,Amb,3.0,Aide-Memoire,2.0,A & M,1.0
7,CJ,1.0,CJ,1.0,A. U.S. France,1.0,A-4O Dulles,1.0,ANZUS,4.0,Congress,2.0,American Charge dAffairs Kidder,1.0,62'$,1.0,3rd Party,1.0,Air Force,1.0,"B. ""Limited Partnership",2.0,APPENDIX VIII,1.0,Administration,4.0,AID-Washington,2.0,American Ambassadors,1.0,Annex D. 36,1.0,Accords,3.0,Admiral,1.0,Aggression,1.0,CASD,1.0,Air Assault Division,1.0,4th Infantry Division,2.0,A Constituent Assembly,1.0,Air Force,7.0,Administrators Bell,1.0,Air Force,4.0,ARVli,1.0,Air Marshal Ky,1.0,A Constituent Assembly,1.0,Department of State Bulletin,4.0,Center of Reaction and Decadency,1.0,C-34 Z03 Taiwan,1.0,American Policy,1.0,Allied Fonvs ',1.0,ALLESANDRI,1.0,AFP,1.0,Aaso,1.0,A The Special Committee,1,ADMIRAL DAVIS OR MR,1.0,A. NSC B. NSC C.,1.0,A Program of Action To Prevent Communist Domination of South Vietnam,1.0,Agency for International Development,1.0,Agence France-Presse Hanoi,1.0,AKAHATA,1.0,ATTACHMENT QUOTE,1.0,Amb Lodge,2.0,Aides-Memoire,1.0,A. Did Swedes,2.0
8,Chronology,1.0,Chronology,1.0,ANZUS,2.0,A-7 2,1.0,Administration,1.0,Defense,21.0,Army,7.0,7 Diagrams U.S. Infantry Division TOE 7,1.0,40 Figures of Movement of Population,1.0,Alexis JohnsonRostow Redraft,1.0,"B. ""Operation Sunrise",1.0,ARVN 5th Division,1.0,AnalysisClironologyTable of Contents and OutlineFootnotes,1.0,ARVL,2.0,Armed,1.0,Army,4.0,Administration,34.0,Admiral Mastins memorandum,1.0,Air Force,5.0,CEICPAC,1.0,Air Cav Div,1.0,82nd Airborne Division,1.0,ACTIONS PROGRAM 1,1.0,Air National Guard,1.0,Agence France-Presse,1.0,AirNaval War,1.0,Administration,9.0,Ambassadors,1.0,AID,4.0,Eisenhower,1.0,"Charge, Chinese Political Affairs",2.0,C-5,2.0,American Security,1.0,Allies,2.0,AMEMBASSY,1.0,AMD,1.0,Accords,1.0,A10,1,ADVISORY COUNCIL,1.0,ADDITIONAL FORCE OR CONCUR IN HIS UNILATERAL ACTION TO RAISE FORCE LEVEL,1.0,A7c,1.0,Agricultural Credit,1.0,Akahata,2.0,ALb,1.0,Accords,7.0,Amb Lodge's,1.0,Allied,1.0,A. QUOTE,1.0
9,Control Sect,1.0,Control Officer,1.0,ATTN,1.0,A-9 c. Eisenhower Suggests Possibility of United Action,1.0,American Foreign Relations,1.0,Department of State,5.0,Associated States M. La Forest,1.0,86th Congress,1.0,48U.S. Army,1.0,Annex,2.0,B. AntecedentsPopulation,1.0,ARVN Corps,2.0,Armed Forces PARAMILITARY JUNK FORCE,1.0,Administration,22.0,Armed Forces Council,1.0,B. A New Scenario,1.0,Air Force,1.0,Air Commodore Ky,1.0,AmbassadorPremier,1.0,CG,1.0,Air Cavalry Division,2.0,96th Infantry Brigade,1.0,AD HQ,1.0,Air National GuardReserve,1.0,Air Force,4.0,Allied,1.0,Administration of Revolutionary Development,1.0,Apr,1.0,ANALYSIS,2.0,Formosa,1.0,Chicago Daily News,1.0,C-7,1.0,American Veterans,1.0,Alsace-Lorraine,2.0,ANALYSIS,1.0,AMEMBASSY,1.0,Adequacy of Present Efforts,1.0,AChieving SuCCess,1,AGC,1.0,ADVERSELY AFFECTED BY,1.0,ABA,1.0,Agrim,1.0,Allied Military Forces,1.0,AMD,3.0,Administration,1.0,Amembassy,1.0,AmbassadorLondon,1.0,A.'NODISPENNSYLVANIA,1.0
