,Index,Index_Count,Part-I,Part-I_Count,Part-2,Part-2_Count,Part-3,Part-3_Count,Part-IV-A-1,Part-IV-A-1_Count,Part-IV-A-2,Part-IV-A-2_Count,Part-IV-A-3,Part-IV-A-3_Count,Part-IV-A-4,Part-IV-A-4_Count,Part-IV-A-5,Part-IV-A-5_Count,Part-IV-B-1,Part-IV-B-1_Count,Part-IV-B-2,Part-IV-B-2_Count,Part-IV-B-3,Part-IV-B-3_Count,Part-IV-B-4,Part-IV-B-4_Count,Part-IV-B-5,Part-IV-B-5_Count,Part-IV-C-1,Part-IV-C-1_Count,Part-IV-C-2a,Part-IV-C-2a_Count,Part-IV-C-2b,Part-IV-C-2b_Count,Part-IV-C-2c,Part-IV-C-2c_Count,Part-IV-C-3,Part-IV-C-3_Count,Part-IV-C-4,Part-IV-C-4_Count,Part-IV-C-5,Part-IV-C-5_Count,Part-IV-C-6a,Part-IV-C-6a_Count,Part-IV-C-6b,Part-IV-C-6b_Count,Part-IV-C-6c,Part-IV-C-6c_Count,Part-IV-C-7a,Part-IV-C-7a_Count,Part-IV-C-7b,Part-IV-C-7b_Count,Part-IV-C-8,Part-IV-C-8_Count,Part-IV-C-9a,Part-IV-C-9a_Count,Part-IV-C-9b,Part-IV-C-9b_Count,Part-V-A-Vol-IA,Part-V-A-Vol-IA_Count,Part-V-A-Vol-IB,Part-V-A-Vol-IB_Count,Part-V-A-Vol-IC,Part-V-A-Vol-IC_Count,Part-V-A-Vol-IID,Part-V-A-Vol-IID_Count,Part-V-B-1,Part-V-B-1_Count,Part-V-B-2a,Part-V-B-2a_Count,Part-V-B-2b,Part-V-B-2b_Count,Part-V-B-3a,Part-V-B-3a_Count,Part-V-B-3b,Part-V-B-3b_Count,Part-V-B-3c,Part-V-B-3c_Count,Part-V-B-3d,Part-V-B-3d_Count,Part-V-B-4-Book-I,Part-V-B-4-Book-I_Count,Part-V-B-4-Book-II,Part-V-B-4-Book-II_Count,Part-VI-A,Part-VI-A_Count,Part-VI-B,Part-VI-B_Count,Part-VI-C-1,Part-VI-C-1_Count,Part-VI-C-2,Part-VI-C-2_Count,Part-VI-C-3,Part-VI-C-3_Count,Part-VI-C-4,Part-VI-C-4_Count
0,Bundy,1.0,Bundy,1.0,-- Bao Dai,1.0,A-10 e.,1.0,53- JCS Memorandum,1.0,17- Memorandum,1.0,210th Meeting,1.0,032353 GEN,1.0,",Vol II",1.0,A. Pro,1.0,A3-Al,1.0,--Ambassador Komer,1.0,Advised JCS,1.0,1566 Harkins,2.0,0717,1.0,9-,1.0,47-,1.0,-Taylor,1.0,45 E. Reactions,1.0,ASD McNaughton,1.0,.which,1.0,17- Ibid.,1.0,-Tiw-Aa,1.0,-- Deny Westmoreland,1.0,(S-NODIS,1.0,69- Ibid,1.0,.It,1.0,9-,1.0,47- Ibid,1.0,A-2 2,1.0,Americais,1.0,-Kennedy,1.0,1 D-88 58,1.0,135V,1.0,'.rUS,1.0,+71 C. Memos,1.0,A.14,1.0,-2-,1,-.Ao-ii,1.0,--a. ano exect,1.0,-.Viet-Cong,1.0,-2- A. Strategy,1.0,ALEXANDER SHELEPIN,1.0,'Ash,1.0,'Nailer,1.0,9-,1.0,A.,1.0,-He,1.0
1,Clerk J The Pentagon,1.0,CSD Task Force,1.0,A-13,1.0,A-12 A-4III,1.0,A-10 h. Manila Conference,1.0,Acheson,2.0,A. C. Davis,1.0,"081561 VNA150,000",1.0,325th,1.0,AGREED,1.0,Aide Memoire,1.0,09101,1.0,Approved Model M Plan,1.0,31Lodge,2.0,ASDISA Memorandum,1.0,93- Ibid,1.0,53- Bundy memorandum,1.0,.-.ilson.o ne,1.0,94 B. Ingredients,1.0,Arab Taylor,1.0,8) Provide,1.0,47- Ibid,1.0,17- Ibid,1.0,2 Squadrons,1.0,2nd Draft,1.0,A. Closing,1.0,A-662,1.0,9- We,1.0,8) Grant,1.0,A-4,1.0,Anu,1.0,Alexis Johnson's,1.0,A. Self-defense,1.0,A. Berub,1.0,.39 p. m. 3323,1.0,-vitn C&r.ontler,1.0,ALLISON J Question,1.0,-He,2,01Daniel,1.0,-Joseph A. Mendenhall,1.0,..a. -ched,1.0,-2- b. Viet-Nam,1.0,Addenda,1.0,(,1.0,9-,1.0,9- Lewandowski,1.0,A. Begin,1.0,.which,1.0
2,I. Vietnam,1.0,Clerk J The Pentagon,1.0,A-13 c.,1.0,A-16 b.,1.0,A-13,1.0,Allessandris,1.0,A. Continue,1.0,091058,1.0,330th,1.0,Alexis Johnson,4.0,Al-A3,1.0,113I Page,1.0,B. These Included More,1.0,3385,2.0,Alexis Johnson,4.0,A. Conceptual Origins,1.0,93- Ibid,1.0,.aylol,1.0,A-4 Skyhawks,1.0,B. GVN Instability,1.0,A. Westmoreland Provided,1.0,5- a.,1.0,42- Ibid,1.0,Abrams,5.0,62- Ibid,1.0,ABEL,2.0,A. Restructuring,1.0,A.M. Taylor,1.0,9-,1.0,C. Kennedy Administration,1.0,B-14 B-l,1.0,Averell Harriman,1.0,ADLAI E. STEVENSON,1.0,A. Carton,1.0,1,1.0,751G.5MAP8,1.0,ARTHUR RADFORD,1.0,-he Viet Minh,1,0Daniel,1.0,.area,1.0,.control,1.0,A. Backgrounds Gradual,1.0,Adlai Stevenson,1.0,--South Viet-Nam,1.0,9- X,1.0,A. DOrlandi,1.0,A. Kosygins,1.0,1967 Kissinger,2.0
3,Kennedy,1.0,I. Vietnam,1.0,A-38 b. Expectation,1.0,A-16 c.,1.0,A-15 a. Introductory Articles Alike,1.0,Approval,1.0,A.C. Davis,2.0,2JCS,1.0,"36""SENATOR MANSFIELD",1.0,Allen Dulles,1.0,Annex B. 28,1.0,1o7,1.0,Btrengh,1.0,4C Shaplen,2.0,Ambassadors Taylor,1.0,Adlai Stevenson's,1.0,Aikkx,1.0,.heirproposa,1.0,Afro-Asian,2.0,B. The Focus of the Joint Chiefs of Staff,1.0,APRIL S. RECEIVED DEPTEL,1.0,53- SecDef Memo for Secys,1.0,53- Ibid,1.0,Alain Enthoven,1.0,A. Background,1.0,ALTERNATIVE A.,2.0,Abra,1.0,Alex Johnson,2.0,A. Land Reform B. Constitutional Evolution C. National Reconciliation D. Economic Stabilization E. Improved Local Government F. Radically,1.0,C. Kennedy Administration TRUMAN ADMINISTRATION TRUMAN ADMINISTRATION,1.0,B-16 B-18 B-18,1.0,Bedel Smith,1.0,Abel,1.0,A. k,1.0,1945195P Contents,1.0,A Gu 11,1.0,ASSUMPT1ON,1.0,.vttsbil,1,1st Lt,1.0,.free Viet-Nam,1.0,.scale,1.0,A. ConduCt,1.0,Agence France-Presse(3,1.0,-0,1.0,ARNOLD SMITH,1.0,A. Lewandowski,1.0,Akalovsky,7.0,2.Nilsson,1.0
4,LESLIE H. CffiLB,1.0,JC TMT,1.0,A-39 c. American Policy,1.0,A-19 b.,1.0,A-15Asian,1.0,Baclic Camau.-ii ',1.0,Antoine Pinay,1.0,"51,3 President's",1.0,5- warner,1.0,AmConsul Hue,1.0,Ap Chien Luoc,1.0,260332E McGeorge Bundy,1.0,Buddhas,1.0,ARV1,2.0,Ambassdaor Taylor,1.0,Agenda Item Number Cll,1.0,Alfred J. Moody,1.0,0502453Decemberl964,1.0,Alex Johnson,1.0,Bien Hoa,5.0,Alex Johnson,1.0,67 B.,1.0,9- Memorandum,1.0,Allies,1.0,A. Carver,1.0,ALTERNATIVE Atogether,1.0,Abrams,1.0,Ambassa-dorNes,1.0,A. Seek,1.0,Foreword,1.0,B-23 B-25,1.0,Brinkley,1.0,Adlai Stevenson,2.0,Achilles Clarac,1.0,1D4GS a. m. PRIOicrrv,1.0,A. J. X',1.0,Accordinglys NSG 1531,1.0,01- declaratiOn,1,9-,1.0,115th,1.0,.which,1.0,A. Devise,1.0,Al Musawar,1.0,-which al 1,1.0,Adalbert de Segonzac,1.0,A. Poles,2.0,Aleksei N. Kosygin,1.0,5THE,1.0
5,McNamara,1.0,Kennedy,1.0,A-5 a.,1.0,A-31 A3 III,1.0,A-19 e.,1.0,Bao Dai,6.0,Arthur W. Radford,1.0,ACTIVE III SOUTH VIETNAM,1.0,53- Ibid.,1.0,Appendix B,1.0,Appendices A-I.,1.0,43- Ibid,1.0,Bulletin,1.0,Administrations,2.0,Arnbas,1.0,Assert,1.0,Alger,1.0,270830SNovemberl964,1.0,Alexis Johnson,1.0,Bien Hoa-type,1.0,Amb Taylor,1.0,8) Finally,1.0,9- OASDSA,1.0,Annex II,1.0,Abbot C. Greenleaf,1.0,ALTERNATIVE B.,1.0,Administrator Gaud,1.0,B.,1.0,A.RV1,1.0,Java,1.0,B-2O,1.0,Bryant,1.0,Aggression,1.0,Adiuintl Temtrd,1.0,231130,1.0,ACHESON,1.0,Acheson,1.0,71754,1,A M. B. RIDGWAY,1.0,120s 520851,1.0,A B. Pieris,1.0,Advise Diem,1.0,Asiax Conferexce InitiativeAugust,1.0,.It,1.0,Afro-Asian,2.0,Adam Rapacki,2.0,Alexei Kosygifi,1.0,"7393""Oberg",1.0
6,McNamaras,1.0,LESLIE H. CffiLB,1.0,A-5 b.,1.0,A-34 b.,1.0,A-5 b.,1.0,Bao Dai's,1.0,Asias Tito,1.0,AGGRESSION,4.0,72Iw A.,1.0,Appendix C,1.0,Arthur Sylvester,1.0,53- Memo,1.0,CPSVNDOD DOLLAR,1.0,Appendix,4.0,Augustwhen Khanh,1.0,Asst,2.0,Arthur B. Anderson,1.0,5- -7,1.0,Ambassa-dor Taylor,1.0,Bundy,8.0,Amb Taylor JCS,1.0,8) Provide,1.0,A.,1.0,Appendix,3.0,Abrams,1.0,ALTERNATIVE B. Emnhasis,1.0,Alexis Johnson,4.0,B. U.S.,1.0,ARVN Ranger,1.0,Kennedy,1.0,B-39,1.0,C-45 c-4,1.0,Alexander Kendrick,1.0,Adolph Berle,1.0,6nl,1.0,ACTION G2 INFO G3,1.0,Ai,1.0,8) Thc,1,A k. Maintain,1.0,1ERM,1.0,ARB,1.0,Alexis Johnson,1.0,BROWN,1.0,19&5Tab N,1.0,Aide Memoire,2.0,Alexander Zinchuk,2.0,Amb,1.0,9-,1.0
7,Moby Dick,1.0,Leslie H. Gelb,1.0,A-hO Iinscribed,1.0,A-36 b.,1.0,A-6 c. ERP,1.0,Bernard B. Fall,1.0,Bao Dai,57.0,AGREED,2.0,73- Ibid,1.0,Arthur,1.0,Averell Harriman,1.0,ACJ3H SUPPL SNTAL,1.0,Castro,1.0,Archbishop Thuc,1.0,Ba Xuyen Shortcoming,1.0,B.,1.0,"Asst CS, Intelligence",1.0,>n.s,1.0,Anatol Dobrynin,1.0,Bundy Bundy,1.0,Ambassadors Taylor,1.0,A1 S-mjidve,1.0,A. Accelerate,1.0,Arthur Dean,1.0,Adam Yarmolinsky,2.0,ALTERNATIVE B. The J6int Chiefs of Staff,1.0,Alvin Friedman,1.0,Ba Gia,1.0,Abrams,1.0,Truman,1.0,B-7 Qi,1.0,C-4O,1.0,And.we,1.0,Aetnitunl Secret,1.0,8510.008246 IVlewram,1.0,Abbot,1.0,Al thou-h,1.0,9- Eden,1,A. Annex,1.0,4THE PROBLEM,1.0,Aaron Burr's,1.0,Appendix Contains,1.0,Ball,1.0,7ION,1.0,Aleksandr N. Shelepin's,1.0,Alexis Johnson,2.0,Amb Bruce,3.0,A.,1.0
8,Morton H. Halperin,1.0,McNamara,1.0,A. C. Davis,1.0,A-36of,1.0,A-7 d.,1.0,Bridges,1.0,Bao Dai or,1.0,AI,2.0,9 B. Ngo Dinh Diem,1.0,Averill Harriman,1.0,B. Reactions,1.0,ADVISORY STABILITY,1.0,Ciiit L?,1.0,Archbishop Thue's,2.0,Berry,1.0,B. Interagency Study,1.0,BMojUSN,1.0,Admnal Lus,1.0,Andrei Grcmyko,1.0,Bundy Memorandum,1.0,Amphibious Force,1.0,Ab McNamara,1.0,A. Attack,1.0,Averell Harriman,1.0,Addendum,1.0,ALTERNATIVE C. Extension,1.0,Ambassa-aor,1.0,Bao Dai,1.0,Advisory Leverage,1.0,V. A.Vol,1.0,B-9,2.0,C-8,1.0,Arthur J.,1.0,Afnorr A. Bert.e,1.0,> Japanese,1.0,Ability Viot,1.0,Alexander,1.0,<3 r.,1,A. B. C. D.,1.0,5n Burma --hich,1.0,Accordingly Diem,1.0,Archbishop Thuc,1.0,Bos,1.0,A. Goldberg,1.0,Alex Johnson,2.0,AmEmbassy SAIGON,1.0,Anatoliy F. Dobrynin,1.0,A. Meeting,1.0
9,OSD Task Force,1.0,McNamaras,1.0,A. United States,1.0,A-43 TOPSECRET,1.0,A-9 g. Indochina,1.0,Brink,2.0,Bao Dai s Plan,1.0,AI NON-COMS,1.0,9- lmplications,1.0,B.,2.0,Ben Tuong,1.0,ARVNRFPF,1.0,Civilian Irregu-lar Defense Group,1.0,Arthur Schlesinger,4.0,Big Minh,1.0,B. Origins,1.0,Baltimore Sun,2.0,Alexis Johnson,1.0,Annex,1.0,C01IUSMACV,1.0,B. Enclave Strategy,1.0,Abrams,1.0,A. Maintain,1.0,Avn Co,1.0,Aircraft Photo Interpreters,1.0,ASDISA Paul C. Warnke Memorandum,5.0,Amy,1.0,Bien Hoa,1.0,Airgram A-66,1.0,Y. A. JUSTIFICATION,1.0,Beam,1.0,C. KENNEDY ADMINISTRAIION,1.0,Arthur J. Goldberg,2.0,Albert C. ivedcmeyer,1.0,A. M. Beossix de Saixv Dip,1.0,Acheson,14.0,Allard,1.0,> c. Impact,1,A. C. DAVIS,1.0,A. StlNMARY,1.0,Airforce Helicopter Squadron,1.0,Attacks,1.0,Boumedienne,1.0,A. N.,1.0,Alexis Johnson,2.0,AmEnbassy,1.0,Arthur J. Goldberg,2.0,A. Nell,1.0
